id,title,room,day,start_time,no,elevator_pitch,prerequisite_knowledge,audience_takeaway,audience_python_level,track,lang_of_talk,lang_of_slide,description,name,profile
a241676c-8a1d-45f9-8d88-c61ba4ec5fe3,Venue open / 開場,#pyconjp,10/15,12:30,1,,,,,,,,,,
0b9f27cc-9da4-4010-9c8e-9d24d31956d5,Opening (Day 1),#pyconjp,10/15,13:00,2,,,,,,,,,,
f473c163-5dbc-452e-a0d5-5d37245ff7f0,基調講演: 谷合 廣紀氏,#pyconjp,10/15,13:30,3,,,,,,,,,,
273758,実践！Django + GraphQL実装 〜素敵なGraphQL Tipsを添えて〜,#pyconjp_1 (15th: onsite),10/15,15:00,4,「GraphQLに少し興味がある」「業務で実際に使う前に気をつける点や実装の詳細を把握したい」という方を対象としています。主にGraphQLそのものや、実践的なGraphene-Django(Graphene-Python)の話になりますが、フロントサイドとの連携や型データの活用方法など効率・品質を上げるためのTipsもいくつか盛り込んだトークになります。,"* MUST
  * Django, Django Formの基礎知識。
* NICE TO HAVE
  * REST, WebSocket, ASGIを少し知っている
  * ウェブアプリケーションを何かしら作った事がある","* RESTとGraphQLを比較検討して、技術選定ができるようになる
* Graphene-Python, Graphene-Djangoを使ったGraphQL Query, Mutation, Subscriptionの実践的な実装方法
* 副次的にクライアントサイドに関してTypescriptでのGraphQL型の再利用方法・GraphQLモックサーバの用意方法・Apollo Clientの大まかな利用用途を理解する
* 業務で失敗した点から学ぶGraphQL APIを実装する上での注意点",Intermediate,Web programming,Japanese,Japanese only,"話す内容の大まかな流れは以下になります。

* GraphQLとは何か
  * GraphQLの特徴
  * RESTと比較しつつ、GraphQLを利用する価値があるケース
* GraphQLの型を学ぶ
  * GraphQLの型の書き方
  * Graphene-DjagnoでDjangoのモデルを使った型の実装方法
* Graphene-Django(Graphene-Python)の実装例
  * Queryの実装を通じて、入出力の定義、リゾルバーの実装を知る
  * Mutationの実装をDjango Formを利用して行う
  * 独自の型を用意してGraphQL APIでのエラー処理を行う
  * 動作確認方法やPytestでのテストの書き方
* Graphene-Subscriptionsを使ったSubscription実装例
  * 前提知識としてWebSocket, RxPy, ASGIについて少し説明
  * Subscriptionの実装例
  * 動作確認方法やPytestでのテストの書き方
* GraphQLを使って業務を行う時の注意点
  * N+1問題の予防
  * DeprecatedとなったAPIの扱い
  * モデル実装時の外部キーの設定
  * 返却したくないカラムの扱い
* 周辺知識の共有
  * (副次的な部分にはなりますが、クライアントサイドも語らないと勿体ないので少し時間を使ってこの章の話をします)
  * 5minでクライアント用のモックサーバを用意する
  * GraphQLの型をTypeScriptで利用して実装の安定性を高める
  * Apollo Clientの利用例
    * クエリ・ミューテーションの書き方
    * クエリの設定例",Mitsuhiko Kai,株式会社ビープラウドでWeb Developerをしています。猫と犬が好きです。
271963,scikit-learnの新機能を紹介します,#pyconjp_2,10/15,15:00,4,"このトークでは、誰もが使ったことのあるscikit-learnに再入門し、近年追加された新機能を紹介します。
前処理では、DataFrameを一発で特徴量変換できるColumnTransformerを紹介します。学習では、カテゴリ値を扱えるHistGradientBoostingClassifierと、グリッドサーチよりも高速なHalvingGridSearchCV、最後にPipelineとその可視化方法を解説します。
トークを聞けば、scikit-learnをより便利・快適に使えるようになります。","必須とする前提知識はありません。
scikit-learn、pandas、numpyのパッケージを使って機械学習を実装した経験があると、トークをより理解しやすいです。
","・scikit-learnの基礎知識
・DataFrameのまま、各列を並列で前処理する方法
・LightGBMのようにカテゴリ値を使用したクラス分類や回帰モデルの構築手法
・処理全体をパイプラインで一元管理し、処理フローを可視化する方法",Intermediate,Machine learning,Japanese,Japanese only,"Pythonで機械学習を実装したことがある人のほとんどは、scikit-learnを使ったことがあるでしょう。TensorFlowやPyTorchによるディープラーニングが盛んな近年においても、scikit-learnは特徴量変換（各種Transfer）、データ分割（train_test_split）、処理フローの統合（Pipeline）、性能評価（metrics）など様々な場面で活用されており、今でもアップデートが盛んなパッケージの一つです。

しかし、「近年にscikit-learnで実装された新機能」に詳しい方は、そう多くはないのではないでしょうか？例えば、最新バージョン（0.24）ではHalvingGridSearchCVという新しいパラメータサーチが公開されましたが、現時点で日本語の解説記事は無いようです。古参のパッケージであるが故に、書籍やサイトで紹介されている記事の中には古い情報も数多くあります。特に機械学習の入門者はscikit-learnを最初に学ぶことが多いからこそ、新しい機能を優先的に学ぶ必要があると感じています。

このトークでは、近年に公開されたscikit-learnの新機能からいくつかを厳選し、従来手法との違いや利点について解説します。すでにscikit-learnを知っている人もそうでない人も、新たな発見に出会えるでしょう。

構成とタイムラインは以下の通りです。
- 導入（5min）
　- 自己紹介
　- scikit-learnの概要と基本コンセプト
　- scikit-learnの歴史
- DataFrameの前処理（ColumnTransformer）（5min）
　- 従来はカラム単位にTransferを実装していた
　- ColumnTransformerはDataFrameの各列を特徴量に直接変換できる
　- 従来手法と比べ、並列化や保守性に優れている
　- 実装事例の紹介
- カテゴリ値の学習（HistGradientBoosting ）（5min）
　- これまで、scikit-learnではカテゴリ値をそのまま扱える予測器は無かった
　- HistGradientBoostingを使うことで、カテゴリ値を用いた分類や予測が可能
　- 従来のワンホットエンコードと比べ、メモリ効率や学習速度が向上
　- 実装事例の紹介
- 効果的なパラメータ探索（HalvingGridSearchCV）（5min）
　- 従来までのGridSearchやRandomSearchは計算コストが高かった
　- HalvingGridSearchCVは、最新のSuccessiveHalving手法を使用したサーチ手法
　- 従来手法と比べ、パラメータ探索を大幅に高速化
　- 実装事例の紹介
- パイプラインの可視化（Pipeline）（4miin）
　- パイプラインによる処理フローの統合
　- パイプラインがグラフ構造で可視化できるようになった
　- 実装事例の紹介
- まとめ（1min）",Shigenobu Fujine,"2012年　旧みずほ情報総研株式会社（2021/4/1よりみずほリサーチ＆テクノロジーズ株式会社に統合）に入社。勘定系システム開発に従事。
2018年　同社の先端研究部門に異動。AIやクラウドを活用したシステム開発や技術研究を担当。"
273766,ASGIアプリケーション入門 - こわくないasyncio基礎と非同期IO - FastAPIを例に,#pyconjp_3,10/15,15:00,4,"PythonでWebアプリケーションを作る際にWSGI FWではなくASGI FWで、と検討されている方も多いのではないでしょうか。
ASGIとはUvicornなどのWebサーバーとFastAPIなどのWebフレームワークを繋ぐ、asyncio対応です。
そう、asyncio。
Pythonを使っていてasyncioを怖いと思う方ももしかしたらいらっしゃるかもしれません。（私もそうです）

本トークでは、「今までasyncioってよくわからなかったけど、基礎はわかったかも。」「Python Webで非同期IOってこう役に立つんだ」そして「asyncio対応のモジュールでPython Webを構築したいな」と思ってもらえるような内容をFastAPIとAsyncpgでの具体例とともにお届けしたいと思っています。",Pythonを使ってWebアプリケーションを実装し、環境を構築したことがある経験。,"・アプリケーションエンジニアとして必要なasyncioの基礎
・Python Webでasyncioを利用する利点
・FastAPIとAsyncpgを組み合わせた場合の使い方",Intermediate,Web programming,Japanese,Japanese only,"近年、FastAPIの盛り上がりにより利用されている方も多いのではないでしょうか。ですが、asyncio Webの利点を理解して使われている方は少ないように感じています。

アプリケーションエンジニアに必要なasyncioの使い方・考え方の基礎から、実際のASGI Webアプリケーションを例にDBアクセスまでasyncioの強みを生かした非同期IOによる。FastAPIとAsyncpgを利用したアプリケーションで解説します。

- 導入
    - 自己紹介

- asyncioの基礎について (15min)
  - 逐次処理・並行処理・並列処理の違い
  - コルーチン・タスク・イベントループの概要
  - asyncioの書き方、使うべき・覚える必要のある機能の解説

- ASGIアプリケーション解説(15min)
  - FastAPI と Asyncpg によるアプリケーション解説
  - asyncio Web による利点
  - WSGIアプリケーションとの速度比較
",Junya Fukuda,Pythonエンジニア
272565,Python 3.9からの新定番zoneinfoを使いこなそう,#pyconjp_4,10/15,15:00,4,"Python 3.9から追加されたタイムゾーンを扱うzoneinfoモジュールが追加されました。
本セッションでは、「なぜzoneinfoが登場したのか」を解説し、すぐ実践できる使い方についてお伝えします。
また、zoneinfoを使う上でのちょっとした嵌りポイントとその回避方法についてもお伝えします。",Pythonチュートリアル（https://docs.python.org/ja/3/tutorial/）またはそれに準ずる入門書を読んで自分でPythonコードを書いたことがある。,"- zoneinfoの基本的な使い方
- zoneinfoを使う上で注意すべきエラーとその回避方法",Beginner,Python core and around,Japanese,Japanese only,"【zoneinfo誕生の経緯と基本的な使い方】
zoneinfoはPython 3.9から登場しましたが、元々Pythonでタイムゾーンを扱う際はpytzを使うのが定番でした。
なぜ、pytzではなくzoneinfoが必要になったのでしょうか？
zoneinfoは、Python 3.6でdatetimeモジュールに加わったfoldという属性と関連があります。ここではfold属性の役割と、zoneinfoがそれとどう関わってくるのかについてお話します。
また、zoneinfoの使い方についても要点を押さえてお伝えします。

【zoneinfoのよくあるエラー】
zoneinfoは内部にタイムゾーンデータベースを持っていません。OSに標準搭載されているタイムゾーンデータベースを参照するようになっています。
ところが、WIndowsではある理由でOSのタイムゾーンデータベースを参照することができません。
ここでは、その理由と対応方法についてお話します。

【zoneinfoの周辺知識】
以下についてお伝えします。
- Djangoでのzoneinfo対応状況
- zoneinfo以外でfold属性に対応しているサードパーティモジュールの紹介",Ryuji Tsutsui,"普段はフィンテック系企業でDjangoを使ってウェブサービスを作っています。
Python Boot Campコアスタッフ、Shonan.pyスタッフなど、Pythonコミュニティにも携わっています。
Twitter: @ryu22e
Blog: https://ryu22e.org/"
268400,Multilingual Natural Language Processing using Python,#pyconjp_5,10/15,15:00,4,"Natural Language Processing(NLP) is an interesting and challenging field. It becomes even more interesting and challenging when we take into consideration more than one human language. In this talk, we will discuss the techniques for processing information in more than one human language.",Basic understanding of Python and Natural Language Processing,The Attendees will learn strategies to perform natural language processing on a text written in two or more human languages,Intermediate,Machine learning,English,English only,"Natural Language Processing(NLP) is an interesting and challenging field. It becomes even more interesting and challenging when we take into consideration more than one human language. when we perform an NLP on a single language there is a possibility that the interesting insights from another human language might be missed out. The interesting and valuable information may be available in other human languages such as Spanish, Chinese, French, Hindi, and other major languages of the world. Also, the information may be available in various formats such as text, images, audio, and video.

In this talk, I will discuss techniques and methods that will help perform NLP tasks on multi-source and multilingual information. The talk begins with an introduction to natural language processing and its concepts. Then it addresses the challenges with respect to multilingual and multi-source NLP. Next, I will discuss various techniques and tools to extract information from audio, video, images, and other types of files using PyScreenshot, SpeechRecognition, Beautiful Soup, and PIL packages. Also, extracting the information from web pages and source code using pytessaract. Next, I will discuss concepts such as translation and transliteration that help to bring the information into a common language format. Once the language is in a common language format it becomes easy to perform NLP tasks. Next, I will explain with the help of a code walkthrough generating a summary from multi-source and multi-lingual information into a specific language using spacy and stanza packages.

Outline
1. Introduction to NLP and concepts (05 Minutes)
2. Challenges in Multi source multilingual NLP (02 Minutes)
3. Tools for extracting information from various file formats (04 Minutes)
4. Extract information from web pages and source code (04 Minutes) 
5. Methods to convert information into common language format (05 Minutes)
6. code walkthrough for multi-source and multilingual summary generation (10 Minutes)",gcdeshpande,"Mr. Gajendra Deshpande holds a masters degree in Computer Science and Engineering and working as Assistant Professor at the Department of Computer Science and Engineering, KLS Gogte Institute of Technology, Belagavi, Karnataka, India.Under his mentor-ship teams have won Smart India Hackathon 2018 and Smart India Hackathon 2019 . He is Technical Director for Sestoauto Networks Pvt. Ltd. and Founder of Thingsvalley. His areas of Interest include Programming, Web Designing, Cyber Security, Artificial Intelligence, Machine Learning, Brain Computer Interface, Internet of Things and Virtual Reality. He has presented papers at NIT Goa, Scipy India 2017 IIT Bombay, JuliaCon 2018 London, Scipy India 2018 IIT Bombay, Scipy 2019 USA and PyCon FR 2019, Bordeaux, France."
273820,PyPIデビュー手前の人のための地下活動手法 - pypicloudを使ったプライベートレジストリの構築,#pyconjp_1 (15th: onsite),10/15,16:00,5,"Pythonでライブラリを作ったら、PyPIに登録したくなりますよね？でもちょっと怖かったりしますよね？

というわけで、Pythonのライブラリを「PyPIに公開」でもなく「GitHub上でそのまま公開」でもない中庸の道として、自分用のパッケージレジストリを運用してみませんか？","- Pythonで自作モジュールを作れる程度の基礎知識
- (あれば)GCP/AWSの基礎知識
","- pypicloudの構築方法・利用方法
- それに付随するインフラ層の概論
- 個人or組織内におけるプライベートレジストリの運用例",Intermediate,Python core and around,Japanese,Japanese only,"Pythonのライブラリを開発した際に、広く一般利用を求めたい場合はPyPIに公開することがほとんどです。
しかし、そうではないパッケージも存在します。

- 社内のために開発しており、公開自体が基本的に望ましくないライブラリ
- 実際に作ってはみたが、PyPIに掲載していいかの自信が持てない

こういった理由でPyPIに公開が難しいときに、どうすればいいでしょうか。

非公開だったらパッケージのアーカイブなどを直接配布するようなアプローチも取れます。
ただただPyPIへの公開をためらってるだけなら、GitHubなどに晒すということもできます。

このセッションでは、もうちょっと突っ込んだアプローチとして、
「自分のパッケージ専用でアップロード・公開ができる環境」を用意する手法を紹介します。

- 自己紹介
- 今回の主題
  - プライベートなパッケージの共有方法
  - パッケージレジストリサーバーの紹介
- pypicloudその0
  - どんなものか
  - どんな使い方ができるのか(1) LAN内キャッシュ編
- pypicloudその1
  - pypicloudのオプションを読み解いていく
  - どんな使い方ができるのか(2) 個人用PyPI編
- pypicloudその2
  - pypicloudのオプションを読み解いていく(2)
  - どんな使い方ができるのか(3) 組織用プライベートレジストリ編
- Extra-1: インフラコストの話
- Extra-2: GCPではなくAWSがいい人向けの話
- まとめ",Kazuya Takei,ニジボックス所属のインフラ寄りバックエンド系スタックフルエンジニア。 興味にリソースを振りがちで、最近はSphinxとFastAPI系と戯れてる機会が多め
271930,位置データもPythonで！！！,#pyconjp_2,10/15,16:00,5,デジタルデバイスが広く行き渡り、デバイスからは多くのデータが取得できます。コロナ禍の今、モバイルの位置データを活用してニュースでは人流を報じています。位置データは身近となる一方、生データが公開されていないため、その扱い方が語られることが少なく感じられます。本トークでは、位置データもPythonを使うと簡単に扱えることを示したあと、実際の人の動きのデータや気象データを扱う事例を取り上げます。,何もなくても楽しめます,"pythonで位置データを扱う際のエコシステム（位置データを扱うためのパッケージ: shapely/ geopandas 、位置データ可視方のためのパッケージ: folium / pydeck / plotly、気象データを扱うためのパッケージ xarray）
位置データを扱う面白さ
",Beginner,Approaching to social problem,Japanese,Both,"コロナ禍の今、モバイルからの位置データの集計結果がニュースで毎日のように取り上げられるなど、位置データは身近なものとなりました。しかし、位置データ自体のプログラミングにおける取り扱いに関してはあまり語られることはありません。本トークではPythonを用いて容易に位置データを扱えることを示します。

まずは、コンピュータで位置データを扱うには、住所を直接渡しても使えないことを示します。住所は経度緯度などの数値データに変換して扱います。オープンデータなどでも住所のみ記されているのをみると、位置データは数値で必要なことは、案外共有されていない事実かも知れません。

Pythonでは位置データはshapelyを用いて扱います。そのさまざまなクラスや属性に関しても触れ、位置データの扱い方を解説します。

次に、geopandasを用いてまとまった位置データの扱い方をとりあげます。geopandasを使ってできることに加え、位置データを扱う代表的なファイル形式（shp形式、geojson形式）もとりあげます。

最後に、実際のデータを用いた事例を示します。1つは過去のリアルタイムな複数人の位置データを扱います。もう一つは、位置データと気象データを用いて、どのように情報が扱えるかを示します。

タイムテーブル
自己紹介(1min)
トーク概要（1min）
PCにとって住所は位置データではない（8分）
コンピュータに「住所」を「位置データ」として渡してはいけない
住所を経度緯度に変換して渡す
経度緯度も色々ある
Pythonでは位置データをshapelyを使って扱う
まとまった位置データを扱う（8分）
Pythonではgeopandasを使ってまとまった位置データを操作する
pandasと違うところ
位置データを扱うファイル形式
Pythonにおける位置データの可視化ツール（geopandas, folium, pydeck, plotly）
実際の活用方法（5分）
複数人の行動の可視化事例（ヒートマップ、リアルタイムに動かす）
気象データと位置データを組み合わせた事例（位置データと気象データをxrrayとplotlyを使って可視化する）
まとめ(1分)

",Hideyuki Ogawa,あとから書く
273795,Pythonで始めるドキュメント・インテリジェンス入門,#pyconjp_3,10/15,16:00,5,ビジネス文書をデータ化し構造や内容を理解するアプリケーションはドキュメント・インテリジェンスと呼ばれ、画像処理や自然言語処理といった複数の要素技術を組み合わせて開発する必要があります。何が必要でどう実現すれば良いのかといった第一歩を、Pythonでの具体的な構築事例とともに紹介します。,"- 基礎的なPythonの知識
- 画像処理や自然言語処理についての深い知識は求めません","- ドキュメント・インテリジェンスの概要
- アプリケーションを構築する上で必要とされる技術と、それを実現する上での具体的なPythonのパッケージとの対応関係の理解
- 参加者自身の課題に適用するときに必要となる基礎知識、難易度を判断するための具体事例",Intermediate,Machine learning,Japanese,Japanese only,"近年の機械学習技術の飛躍的発展により、計算機が画像や文書をより深いレベルで解析できるようになりました。これにより可能となったのが「ドキュメント・インテリジェンス」で、近年では機械学習の研究対象としても企業における実応用としても盛り上がりを見せている分野です。

ドキュメント・インテリジェンスとは、人間が記述したビジネス文書を機械的に解析する技術の総称です。契約書や発注書、領収書、事業レポートなどのビジネスで利用される書類は、テーブル構造や箇条書きといった人間が読みやすくするための工夫が凝らされ、言葉のみならず図表や記号を活用した多様なフォーマットで記述されます。書類という空間上で自由に表現される文字情報は、ただ画像から文字起こしをするだけでは意味がなく、散らばった文字を有機的につなぎ合わせて言葉を構成し、レイアウトや配置から対応関係を汲み取り、そして解釈する必要があります。このためには画像処理や自然言語処理といった機械学習技術を組み合わせ、一つのアプリケーションして構築することで実現します。

ドキュメント・インテリジェンスのアプリケーションを作る上では、Pythonがもっとも適したプログラミング言語と言えるでしょう。機械学習の文脈で広く用いられるPythonですが、それ以外にも画像処理や文字列処理、ウェブアプリケーション上でのインタラクティブな可視化など、Pythonで利用できる豊富なパッケージにより開発を強力にサポートすることができます。

そこで本発表では、ドキュメント・インテリジェンスの分野を俯瞰しつつ、どのドメイン領域においても共通して必要となる画像処理や自然言語処理の技術を対象に、Pythonで実現するための方法をご紹介します。

- 導入（2 min）
	- 自己紹介
- ドキュメント・インテリジェンスとは（10 min）
	- ビジネス文書の性質
	- ドキュメント・インテリジェンスの具体事例
	- 現時点で何ができて何ができないか、人間の認知能力との比較
	- アプリケーションを構成する各要素技術の紹介
- Pythonを使った構築事例の紹介 (15 min)
	- 物理的な紙からの画像への変換
	- 画像の読み込みとOCRによる文字起こし
	- テーブルやレイアウト判定、項目の対応関係推定
	- 文書からの情報抽出
	- 開発をサポートするインタラクティブなウェブアプリケーションの構築
- まとめ (3 min)
	- ドキュメント・インテリジェンスの今後の展望",yag_ays,"2020年7月よりUbie株式会社 機械学習エンジニア。医療ドメインの自然言語処理を中心に、機械学習エンジニアとしてプロダクト開発を行っている。趣味は愛犬のコーギーと遊ぶこと。

https://yag.xyz/"
267483,組み込み関数powの知られざる進化,#pyconjp_4,10/15,16:00,5,組み込み関数powとは数の冪乗を返す関数です。Python 3.8でpow関数に新たな機能が追加され、整数mを法とする剰余類における逆元が計算できるようになりました。本発表では通常の整数における冪乗との違い、背後で使われているアルゴリズム、活用例について紹介します。,"Pythonに関する予備知識は不要、組み込み関数powやべき乗(a **b）を知っていればOK。
数学に関する知識は「冪乗」や「剰余（あまり）」の概念を知っていればOK。","- powのような古くからある関数でもアップデートが行われるという知見
- 何気なく使う関数の背後にあるアルゴリズム（今回は拡張Euclidの互除法）の理解
- 数学的に興味深い問題（整数論）の紹介",Beginner,Python core and around,Japanese,Japanese only,"Pythonの組み込み関数powは遅くても[バージョン1.4](https://docs.python.org/release/1.4/lib/node26.html#SECTION00330000000000000000)から存在する関数で、数の冪乗を計算する関数です。
Python 3.8でpow関数に新たなる機能が追加されました。
それは整数mを法とした剰余類（合同算術）における逆元計算です。
本発表では計算の具体例や背後にある理論、アルゴリズムの紹介を行います。

- 組み込み関数powについて
    - 従来（3.7まで）の使い方
        - pow(2, 3) 2の3乗
        - pow(2, 100, 3)  2の100乗を3で割った余り
- 3.8の新機能：剰余類における逆元
    - pow(38, -1, 97) 38の97を法とした剰余類における逆元
    - (23 * 38) % 97 = 1
- 整数mを法とした剰余類とは
- 拡張Euclidの互除法
- 逆元が計算可能であるための必要十分条件
- 計算の効率性
- まとめ",Hayao Suzuki,"電気通信大学大学院 情報理工学研究科 総合情報学専攻 博士前期課程修了、修士（工学）。
"
267640,Visualize 3D scientific data in a Pythonic way like matplotlib,#pyconjp_5,10/15,16:00,5,"Do you want to visualize 3D scientific data in a Pythonic way like matplotlib?  If you want, this talk is for you.
As you know, matplotlib is a excellent library to plot 2D data in pythonic  but not for 3D scientific data. This is why PyVista is developed.
It is
- ""VTK for humans"": a high-level API to the Visualization Toolkit (VTK)
- 3D plotting made simple and built for large/complex data geometries
- mesh data structures and filtering methods for spatial datasets
You will know the way of  visualize 3D scientific data in a Pythonic way like matplotlib.
I will talk about
- Hello World! of PyVista
- Load and plot from a files
- Extracting and Contourin
- How to use camera object
- Plot data over circular arc
Enjoy pythonic plotting of 3D scientific data!",knowledges about matplotlib,"know-how of  visualize 3D scientific data in a Pythonic way like matplotlib.
- Hello World! of PyVista
- Load and plot from a files
- Extracting and Contourin
- How to use camera object
- Plot data over circular arc",Intermediate,Visual / Game / Music,English,English only,"Do you want to visualize 3D scientific data in a Pythonic way like matplotlib? If you want, this talk is for you.
This talk is the introduction of PyVista. It is
- ""VTK for humans"": a high-level API to the Visualization Toolkit (VTK)
- 3D plotting made simple and built for large/complex data geometries
- mesh data structures and filtering methods for spatial datasets",Tetsuo Koyama,"ARK Information Systems, INC. - Software Engineer (2012-)"
0246a636-eeda-4c35-b070-b7d16d907d2a,PyCon JP Association公開mtg,#pyconjp_1 (15th: onsite),10/15,17:00,6,,,,,,,,Association公開mtg,,
273538,コミュニティサービスにおけるレコメンデーションの変遷とAWS SageMakerを用いた機械学習パイプラインについて,#pyconjp_2,10/15,17:00,6,"私の所属するコネヒト株式会社が運営するQAサービス「ママリ」では月間投稿数が約130万件ほどありますが、そのほとんどがルールベースでユーザーに届けられていました.  
そこで2020年後半から本格的にレコメンデーション機能の実装に取り組み始め、約半年間で様々なアップデートを行い実験してきました. 
このトークでは、レコメンデーション機能を実装する際に得た知見や勘所を中心に、レコメンデーションアルゴリズムや機械学習基盤構築Tipsをご紹介します.  ","- pythonを用いたデータ分析経験
- 機械学習ワークフローの基本的な流れ（実務経験はなくとも、知識があれば大丈夫です）
- （ある良い※任意）レコメンデーションエンジンの開発経験
- （ある良い※任意）AWS SageMaker/StepFunctionsを使ったことのある経験","- Pythonを用いたレコメンデーションアルゴリズムの実装例
- 実サービスへ機械学習を導入する際の勘所
- AWS SageMakerとコンテナを用いたデータ分析（python）環境構築Tips
- SageMakerとStepFunctionsを用いた機械学習パイプライン構築Tips",Intermediate,Machine learning,Japanese,Japanese only,"# 概要
現代において我々が使用している様々なサービスは、パーソナライズやレコメンデーションといった機能が当たり前の時代になっています.  
それと同時に、良いレコメンデーションはサービスの競争力を高めるために非常に重要な役割を担っていると考えられます. 
私の所属するコネヒト株式会社が運営するQAサービス「ママリ」では、数年前のCM放映をきっかけにユーザー基盤が拡大し、ユーザーの多様性が高くなりました.  
それに伴い投稿される質問の数やその種類も増えた結果、ひとりひとりのユーザーが抱える悩みを解決できるようなQAを探すのが難しくなってきていました.このような課題感からレコメンデーション機能の導入に踏み切りました.  
またそれと同時に、日々蓄積される行動ログデータを用いて、安定かつ継続的にモデル学習（Continuous Training）を行う機械学習基盤も必要となってきました.  
本トークでは、QAサービス「ママリ」において、Pythonを用いたレコメンデーション機能を導入した変遷やそのアルゴリズムをご紹介しつつ、サービス実装時のポイントや、AWSを用いた機械学習パイプラインの構築方法についてご紹介します.  

# Outline
- 導入（5min）    
    - 自己紹介  
    - 一般的なレコメンデーションの説明  
- ママリにおけるレコメンデーションの変遷とそのアルゴリズム （10min）  
    - TensorFlowを用いた行列分解によるレコメンデーション（2020.12〜）  
    - トピックモデリングを活用したレコメンデーション（2021.03〜）  
    - ニューラルネットワークを活用したレコメンデーション（2021.06〜）  
- AWS SageMakerを用いた機械学習パイプラインの構築（10min）  
    - SageMakerを使用する以前に感じていた課題感  
    - SageMakerを活用するメリット・デメリット  
    - StepFunctions×SageMakerを用いた機械学習パイプラインの構築方法  
- まとめと今後の展望について（3min）  
",takapy,"コネヒト株式会社で機械学習エンジニアとして、機械学習基盤や機械学習モデル・APIの開発に従事。

趣味でデータ分析コンペに出場したり、nlplotという自然言語可視化ライブラリの開発をしています。機械学習をプロダクトに導入し、どうビジネスインパクトを出すかに興味があります。"
